timestamp,power,impEnergy,expEnergy,productionEnergy,productionPower
2024-03-01 00:00:00+00:00,21.5,18.0,0.0,0.0,0.0
2024-03-01 00:15:00+00:00,25.16,23.0,0.0,0.0,0.0
2024-03-01 00:30:00+00:00,37.15,26.0,0.0,0.0,0.0
2024-03-01 00:45:00+00:00,27.75,28.0,0.0,0.0,0.0
2024-03-01 01:00:00+00:00,44.38,42.0,0.0,0.0,0.0
2024-03-01 01:15:00+00:00,26.5,9.0,0.0,0.0,0.0
2024-03-01 01:30:00+00:00,7.5,7.0,0.0,0.0,0.0
2024-03-01 01:45:00+00:00,26.84,24.0,0.0,0.0,0.0
2024-03-01 02:00:00+00:00,7.5,8.0,0.0,0.0,0.0
2024-03-01 02:15:00+00:00,9.12,9.0,0.0,0.0,0.0
2024-03-01 02:30:00+00:00,41.66,38.0,0.0,0.0,0.0
2024-03-01 02:45:00+00:00,37.39,34.0,0.0,0.0,0.0
2024-03-01 03:00:00+00:00,43.75,43.0,0.0,0.0,0.0
2024-03-01 03:15:00+00:00,58.78,57.0,0.0,0.0,0.0
2024-03-01 03:30:00+00:00,41.25,29.0,0.0,0.0,0.0
2024-03-01 03:45:00+00:00,22.0,22.0,0.0,0.0,0.0
2024-03-01 04:00:00+00:00,39.83,38.0,0.0,0.0,0.0
2024-03-01 04:15:00+00:00,22.0,22.0,0.0,0.0,0.0
2024-03-01 04:30:00+00:00,22.0,22.0,0.0,0.0,0.0
2024-03-01 04:45:00+00:00,40.01,37.0,0.0,0.0,0.0
2024-03-01 05:00:00+00:00,23.26,15.0,0.0,0.0,0.0
2024-03-01 05:15:00+00:00,32.0,28.0,0.0,0.0,0.0
2024-03-01 05:30:00+00:00,45.05,46.0,0.0,0.0,0.0
2024-03-01 05:45:00+00:00,31.75,27.0,0.0,0.0,0.0
2024-03-01 06:00:00+00:00,12.75,13.0,0.0,0.0,0.0
2024-03-01 06:15:00+00:00,35.39,28.0,0.0,1.0,5.0
2024-03-01 06:30:00+00:00,23.0,20.0,0.0,4.0,17.5
2024-03-01 06:45:00+00:00,5.5,2.0,0.0,8.0,31.5
2024-03-01 07:00:00+00:00,18.12,15.0,3.0,11.0,46.0
2024-03-01 07:15:00+00:00,44.72,0.0,24.0,38.0,94.33
2024-03-01 07:30:00+00:00,6.65,1.0,9.0,48.0,186.0
2024-03-01 07:45:00+00:00,14.4,15.0,22.0,65.0,298.67
2024-03-01 08:00:00+00:00,-51.07,0.0,30.0,71.0,365.1
2024-03-01 08:15:00+00:00,-168.67,0.0,176.0,203.0,820.69
2024-03-01 08:30:00+00:00,-43.09,9.0,98.0,125.0,738.33
2024-03-01 08:45:00+00:00,-202.59,0.0,205.0,231.0,996.73
2024-03-01 09:00:00+00:00,-205.54,0.0,175.0,193.0,909.0
2024-03-01 09:15:00+00:00,-17.77,60.0,84.0,178.0,597.33
2024-03-01 09:30:00+00:00,192.89,184.0,0.0,159.0,590.5
2024-03-01 09:45:00+00:00,138.77,140.0,0.0,213.0,1054.24
2024-03-01 10:00:00+00:00,196.82,193.0,0.0,171.0,967.08
2024-03-01 10:15:00+00:00,211.76,228.0,0.0,114.0,572.38
2024-03-01 10:30:00+00:00,157.12,169.0,0.0,167.0,921.08
2024-03-01 10:45:00+00:00,139.71,146.0,0.0,190.0,809.2
2024-03-01 11:00:00+00:00,150.61,155.0,0.0,171.0,661.0
2024-03-01 11:15:00+00:00,150.47,158.0,0.0,163.0,639.0
2024-03-01 11:30:00+00:00,140.97,122.0,0.0,217.0,883.57
2024-03-01 11:45:00+00:00,66.69,74.0,3.0,247.0,1222.21
2024-03-01 12:00:00+00:00,-46.15,8.0,56.0,375.0,1450.19
